government_entity,source_file,ingestion_date
مستشفى القوات المسلحة بجازان,Government Entity.csv,2026-01-31
مستشفى قاعدة الملك عبدالعزيز الجوية بالظهران,Government Entity.csv,2026-01-31
مستشفى خميس مشيط,Government Entity.csv,2026-01-31
مستشفى مجمع الملك فهد الطبي بالظهران,Government Entity.csv,2026-01-31
كلية الأمير سلطان العسكرية للعلوم الصحية,Government Entity.csv,2026-01-31
مستشفى نجران,Government Entity.csv,2026-01-31
مستشفى القوات المسلحة بالقصيم,Government Entity.csv,2026-01-31
مستشفى وادي الدواسر,Government Entity.csv,2026-01-31
مستشفى شرورة,Government Entity.csv,2026-01-31
مستشفى الجبيل,Government Entity.csv,2026-01-31
معهد الأمير عبدالرحمن بن عبدالعزيز لطب الأسنان,Government Entity.csv,2026-01-31
الإدارة العامة للأشغال العسكرية,Government Entity.csv,2026-01-31
إدارة التموين,Government Entity.csv,2026-01-31
المستشفيات الصغيرة,Government Entity.csv,2026-01-31
إدارة التخطيط والميزانية والمتابعة,Government Entity.csv,2026-01-31
إدارة الاستثمار وتنمية الايرادات,Government Entity.csv,2026-01-31
إدارة المشتريات,Government Entity.csv,2026-01-31
المؤسسة العامة للخطوط الجوية العربية السعودية,Government Entity.csv,2026-01-31
المؤسسة العامة للصناعات العسكرية,Government Entity.csv,2026-01-31
كلية الملك فهد البحرية,Government Entity.csv,2026-01-31
كلية الملك عبدالله للدفاع الجوي,Government Entity.csv,2026-01-31
الهيئة العامة للمساحة والمعلومات الجيومكانية,Government Entity.csv,2026-01-31
قوة الصواريخ الاستراتيجية,Government Entity.csv,2026-01-31
وزارة الداخلية - الديوان العام,Government Entity.csv,2026-01-31
الإدارة العامة للخدمات الطبية,Government Entity.csv,2026-01-31
إسكان قوى الأمن بجدة,Government Entity.csv,2026-01-31
إسكان قوى الأمن بنجران,Government Entity.csv,2026-01-31
إسكان قوى الأمن بشرورة,Government Entity.csv,2026-01-31
إسكان قوى الأمن بعرعر وطريف,Government Entity.csv,2026-01-31
إسكان قوى الأمن بتبوك,Government Entity.csv,2026-01-31
إسكان قوى الأمن بالظهران,Government Entity.csv,2026-01-31
إسكان قوى الأمن بالخفجي,Government Entity.csv,2026-01-31
إسكان قوى الأمن بحفر الباطن,Government Entity.csv,2026-01-31
إسكان قوى الأمن بالرياض,Government Entity.csv,2026-01-31
إسكان قوى الأمن بمكة المكرمة,Government Entity.csv,2026-01-31
إسكان قوى الأمن بالمنطقة الشرقية,Government Entity.csv,2026-01-31
وحدة الكفاءات,Government Entity.csv,2026-01-31
برنامج المدن الطبية,Government Entity.csv,2026-01-31
وكالة وزارة الداخلية لشؤون الأفواج الأمنية,Government Entity.csv,2026-01-31
مستشفى قوى الأمن بمنطقة مكة المكرمة,Government Entity.csv,2026-01-31
مستشفى قوى الأمن بالدمام,Government Entity.csv,2026-01-31
مستشفى قوى الأمن بمنطقة الرياض,Government Entity.csv,2026-01-31
القوات الخاصة للأمن والحماية,Government Entity.csv,2026-01-31
لإدارة العامة لأندية منسوبي وزارة الداخلية,Government Entity.csv,2026-01-31
الإدارة العامة لصحة السجون,Government Entity.csv,2026-01-31
القوات الخاصة للأمن البيئي,Government Entity.csv,2026-01-31
الخدمات الطبية بوزارة الداخلية,Government Entity.csv,2026-01-31
البرنامج الوطني للتنمية المجتمعية في المناطق,Government Entity.csv,2026-01-31
الأمن العام,Government Entity.csv,2026-01-31
الأمن العام ( الإدارة العامة لدوريات الأمن),Government Entity.csv,2026-01-31
الإدارة العامة للأمن والحماية,Government Entity.csv,2026-01-31
الشؤون الإدارية والمالية,Government Entity.csv,2026-01-31
التخطيط والتطوير,Government Entity.csv,2026-01-31
شؤون الأمن,Government Entity.csv,2026-01-31
الأمن العام ( الإمداد والتموين),Government Entity.csv,2026-01-31
الأمن العام ( أمن الحج والعمرة),Government Entity.csv,2026-01-31
الأمن العام ( شؤون التدريب),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة الرياض),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة مكة المكرمة),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة المدينة المنورة),Government Entity.csv,2026-01-31
الأمن العام ( شرطة المنطقة الشرقية),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة القصيم),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة عسير),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة حائل),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة الباحة),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة تبوك),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة جازان),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة نجران),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة الحدود الشمالية),Government Entity.csv,2026-01-31
الأمن العام ( شرطة منطقة الجوف),Government Entity.csv,2026-01-31
الأمن العام ( القوات الخاصة لأمن الطرق),Government Entity.csv,2026-01-31
الأمن العام ( القوات الخاصة للأمن الدبلوماسي),Government Entity.csv,2026-01-31
الأمن العام ( الإدارة العامة للمرور),Government Entity.csv,2026-01-31
الإدارة العامة للمشاريع والصيانة,Government Entity.csv,2026-01-31
الأمن العام ( الإدارة العامة لأنظمة الاتصالات),Government Entity.csv,2026-01-31
الأمن العام ( الإدارة العامة للأدلة الجنائية),Government Entity.csv,2026-01-31
الأمن العام (التقنية والذكاء الاصطناعي),Government Entity.csv,2026-01-31
الإدارة العامة للأسلحة والمتفجرات,Government Entity.csv,2026-01-31
الإدارة العامة للميزانية,Government Entity.csv,2026-01-31
الأمن العام ( الإدارة العامة للعلاقات والإعلام),Government Entity.csv,2026-01-31
الإدارة العامة للشؤون القانونية,Government Entity.csv,2026-01-31
الأمن العام ( الإدارة العامة للمشتريات والعقود),Government Entity.csv,2026-01-31
الأمن العام (الجهاز الرئيسي),Government Entity.csv,2026-01-31
الامن العام,Government Entity.csv,2026-01-31
الادارة العامة للسجون,Government Entity.csv,2026-01-31
الادارة العامة لمكافحة المخدرات,Government Entity.csv,2026-01-31
شرطة منطقة الرياض,Government Entity.csv,2026-01-31
شرطة منطقة مكة المكرمة,Government Entity.csv,2026-01-31
شرطة المنطقة الشرقية,Government Entity.csv,2026-01-31
شرطة منطقة المدينة المنورة,Government Entity.csv,2026-01-31
شرطة منطقة حائل,Government Entity.csv,2026-01-31
شرطة منطقة الحدود الشمالية,Government Entity.csv,2026-01-31
شرطة منطقة تبوك,Government Entity.csv,2026-01-31
الدفاع المدني,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة الرياض,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة مكة المكرمة,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية بالمشاعر والعاصمة المقدسة,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة المدينةالمنورة,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بالمنطقة الشرقية,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة القصيم,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة حائل,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة الجوف,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة تبوك,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة الحدودالشمالية,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة الباحة,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة عسير,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة جازان,Government Entity.csv,2026-01-31
ادارة الشؤون الفنية المركزية بمنطقة نجران,Government Entity.csv,2026-01-31
الادارة العامة للصيانة,Government Entity.csv,2026-01-31
الادارة العامة للشؤون الهندسية,Government Entity.csv,2026-01-31
الادارة العامة للاتصالات,Government Entity.csv,2026-01-31
ادارة المشتريات,Government Entity.csv,2026-01-31
المباحث العامة,Government Entity.csv,2026-01-31
المديرية العامة لحرس الحدود,Government Entity.csv,2026-01-31
حرس الحدود - شؤون الطيران,Government Entity.csv,2026-01-31
إدارةتقنية المعلومات,Government Entity.csv,2026-01-31
حرس الحدود - الشؤون الهندسية,Government Entity.csv,2026-01-31
إدارة الشؤون البحرية,Government Entity.csv,2026-01-31
حرس الحدود - الموارد البشرية,Government Entity.csv,2026-01-31
حرس الحدود - التقنية والذكاء الاصطناعي,Government Entity.csv,2026-01-31
إدارة الأتصالات,Government Entity.csv,2026-01-31
إدارة نظم المراقبة,Government Entity.csv,2026-01-31
الإدارة العامة للصيانة والنقل,Government Entity.csv,2026-01-31
الإدارة العامة للشؤون الهندسية / إدارة الطرق,Government Entity.csv,2026-01-31
الإدارة العامة للشؤون الهندسية /إدارة المشاريع,Government Entity.csv,2026-01-31
حرس الحدود - الشؤون الطبية,Government Entity.csv,2026-01-31
إدارة الأعلام,Government Entity.csv,2026-01-31
حرس الحدود - الإعلام والاتصال المؤسسي,Government Entity.csv,2026-01-31
قيادة منطقة الحدود الشمالية,Government Entity.csv,2026-01-31
قيادة حرس الحدود بمنطقة عسير,Government Entity.csv,2026-01-31
قيادة حرس الحدود بمنطقة مكة المكرمة,Government Entity.csv,2026-01-31
قيادة حرس الحدود بمنطقة المدينة المنورة,Government Entity.csv,2026-01-31
الإدارة العامة للشؤون الهندسية / إدارة الأسكان,Government Entity.csv,2026-01-31
حرس الحدود - الصيانة والنقل,Government Entity.csv,2026-01-31
الإدارة العامة للصيانة والنقل / صيانة الآليات,Government Entity.csv,2026-01-31
الإدارة العامة للصيانة والنقل / الأسناد الفني,Government Entity.csv,2026-01-31
حرس الحدود - العقود والاعتمادات المستندية,Government Entity.csv,2026-01-31
حرس الحدود - الشؤون البحرية,Government Entity.csv,2026-01-31
حرس الحدود - الإمدادات والتموين,Government Entity.csv,2026-01-31
المدير العامة لحرس الحدود / الرياض,Government Entity.csv,2026-01-31
كلية الملك فهد الامنية,Government Entity.csv,2026-01-31
قوات الأمن الخاصة,Government Entity.csv,2026-01-31
المديرية العامة للجوازات,Government Entity.csv,2026-01-31
الادارة العامة للمجاهدين,Government Entity.csv,2026-01-31
أمارة منطقة الرياض,Government Entity.csv,2026-01-31
أمارة منطقة مكة المكرمة,Government Entity.csv,2026-01-31
أمارة المنطقة الشرقية,Government Entity.csv,2026-01-31
أمارة منطقة المدينة المنورة,Government Entity.csv,2026-01-31
أمارة منطقة حائل,Government Entity.csv,2026-01-31
أمارة منطقة القصيم,Government Entity.csv,2026-01-31
أمارة منطقة الحدود الشمالية,Government Entity.csv,2026-01-31
أمارة منطقة عسير,Government Entity.csv,2026-01-31
أمارة منطقة تبوك,Government Entity.csv,2026-01-31
أمارة منطقة الجوف,Government Entity.csv,2026-01-31
أمارة منطقة الباحة,Government Entity.csv,2026-01-31
أمارة منطقة جازان,Government Entity.csv,2026-01-31
أمارة منطقة نجران,Government Entity.csv,2026-01-31
المديرية العامة للسجون,Government Entity.csv,2026-01-31
المديرية العامة للأحوال المدنية,Government Entity.csv,2026-01-31
قوة أمن المنشآت,Government Entity.csv,2026-01-31
المديرية العامة لمكافحة المخدرات,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة الرياض,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة مكة المكرمة,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بالمنطقة الشرقية,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة المدينة المنورة,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة الحدود الشمالية,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة جازان,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة نجران,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة القصيم,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة حائل,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة عسير,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة الجوف,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة تبوك,Government Entity.csv,2026-01-31
إدارة مكافحة المخدرات بمنطقة الباحة,Government Entity.csv,2026-01-31
وزارة البلديات والإسكان,Government Entity.csv,2026-01-31
أمانة العاصمة المقدسة,Government Entity.csv,2026-01-31
بلدية محافظة الجموم,Government Entity.csv,2026-01-31
بلدية عسفان,Government Entity.csv,2026-01-31
بلدية مدركة,Government Entity.csv,2026-01-31
أمانة منطقة المدينة المنورة,Government Entity.csv,2026-01-31
هيئة تطوير المدينة المنوره,Government Entity.csv,2026-01-31
بلدية محافظة ينبع,Government Entity.csv,2026-01-31
بلدية محافظة العلا,Government Entity.csv,2026-01-31
بلدية محافظة بدر,Government Entity.csv,2026-01-31
بلدية محافظة خيبر,Government Entity.csv,2026-01-31
بلدية محافظة الحناكية,Government Entity.csv,2026-01-31
بلدية محافظة المهد,Government Entity.csv,2026-01-31
بلدية ينبع النخل,Government Entity.csv,2026-01-31
بلدية وادى الفرع,Government Entity.csv,2026-01-31
بلدية العيص,Government Entity.csv,2026-01-31
بلدية الحسو,Government Entity.csv,2026-01-31
بلدية النخيل,Government Entity.csv,2026-01-31
بلدية المسيجيد والقاحة,Government Entity.csv,2026-01-31
بلدية العشاش,Government Entity.csv,2026-01-31
بلدية ثرب,Government Entity.csv,2026-01-31
بلدية السويرقية,Government Entity.csv,2026-01-31
بلدية الصلصلة,Government Entity.csv,2026-01-31
بلدية سليلة جهينة والمربع,Government Entity.csv,2026-01-31
أمانة منطقة الرياض,Government Entity.csv,2026-01-31
وكالة أمانة منطقة الرياض لشئون بلديات المنطقة,Government Entity.csv,2026-01-31
بلدية محافظة الخرج,Government Entity.csv,2026-01-31
بلدية محافظة الدوادمى,Government Entity.csv,2026-01-31
بلدية محافظة عفيف,Government Entity.csv,2026-01-31
بلدية محافظة المجمعة,Government Entity.csv,2026-01-31
بلدية محافظة الزلفى,Government Entity.csv,2026-01-31
بلدية محافظة وادي الدواسر,Government Entity.csv,2026-01-31
بلدية محافظة شقراء,Government Entity.csv,2026-01-31
بلدية محافظة القويعية,Government Entity.csv,2026-01-31
بلدية محافظة الدرعية,Government Entity.csv,2026-01-31
بلدية محافظة الافلاج,Government Entity.csv,2026-01-31
بلدية محافظة حوطة بنى تميم,Government Entity.csv,2026-01-31
بلدية حوطة سدير,Government Entity.csv,2026-01-31
بلدية الدلم,Government Entity.csv,2026-01-31
بلدية محافظة السليل,Government Entity.csv,2026-01-31
بلدية محافظة حريملاء,Government Entity.csv,2026-01-31
بلدية محافظة ضرماء,Government Entity.csv,2026-01-31
بلدية مرات,Government Entity.csv,2026-01-31
بلدية محافظة المزاحمية,Government Entity.csv,2026-01-31
بلدية محافظة الغاط,Government Entity.csv,2026-01-31
بلدية تمير,Government Entity.csv,2026-01-31
بلدية محافظة ثادق,Government Entity.csv,2026-01-31
بلدية جلاجل,Government Entity.csv,2026-01-31
بلدية محافظة الحريق,Government Entity.csv,2026-01-31
بلدية روضة سدير,Government Entity.csv,2026-01-31
بلدية الرين,Government Entity.csv,2026-01-31
بلدية الحلوة,Government Entity.csv,2026-01-31
بلدية الرويضة,Government Entity.csv,2026-01-31
بلدية العيينة والجبيلة,Government Entity.csv,2026-01-31
بلدية الهياثم,Government Entity.csv,2026-01-31
بلدية البجادية,Government Entity.csv,2026-01-31
بلدية ساجر,Government Entity.csv,2026-01-31
بلدية محافظة رماح,Government Entity.csv,2026-01-31
بلدية نفى,Government Entity.csv,2026-01-31
بلدية القصب,Government Entity.csv,2026-01-31
بلدية الهدار,Government Entity.csv,2026-01-31
بلدية الأرطاوية,Government Entity.csv,2026-01-31
بلدية الجمش,Government Entity.csv,2026-01-31
بلدية حلبان,Government Entity.csv,2026-01-31
بلدية أشيقر,Government Entity.csv,2026-01-31
بلدية الأحمر,Government Entity.csv,2026-01-31
بلدية عروى,Government Entity.csv,2026-01-31
بلدية الحصاة,Government Entity.csv,2026-01-31
بلدية بدائع العضيان,Government Entity.csv,2026-01-31
بلدية الجله وتبراك,Government Entity.csv,2026-01-31
بلدية البديع,Government Entity.csv,2026-01-31
بلدية السر,Government Entity.csv,2026-01-31
بلدية الحيانية والبرك,Government Entity.csv,2026-01-31
أمانة محافظة جدة,Government Entity.csv,2026-01-31
أمانة جدة (تخصيص البنود),Government Entity.csv,2026-01-31
بلدية محافظة رابغ,Government Entity.csv,2026-01-31
بلدية محافظة القنفذة,Government Entity.csv,2026-01-31
بلدية محافظة الليث,Government Entity.csv,2026-01-31
بلدية محافظة خليص,Government Entity.csv,2026-01-31
(بلدية القوز(القنفذة,Government Entity.csv,2026-01-31
بلدية محافظة الكامل,Government Entity.csv,2026-01-31
بلدية أضم,Government Entity.csv,2026-01-31
بلدية العرضية الجنوبية,Government Entity.csv,2026-01-31
بلدية حجر,Government Entity.csv,2026-01-31
بلدية المظيلف,Government Entity.csv,2026-01-31
بلدية الحلى,Government Entity.csv,2026-01-31
بلدية الشواق,Government Entity.csv,2026-01-31
بلدية العرضية الشمالية,Government Entity.csv,2026-01-31
بلدية غميقة,Government Entity.csv,2026-01-31
بلدية سبت الجارة,Government Entity.csv,2026-01-31
أمانة المنطقة الشرقية,Government Entity.csv,2026-01-31
بلدية محافظة حفر الباطن,Government Entity.csv,2026-01-31
بلدية محافظة القطيف,Government Entity.csv,2026-01-31
بلدية محافظة الخفجى,Government Entity.csv,2026-01-31
بلدية محافظة الجبيل,Government Entity.csv,2026-01-31
بلدية محافظة بقيق,Government Entity.csv,2026-01-31
بلدية محافظة النعيرية,Government Entity.csv,2026-01-31
بلدية محافظة راس تنورة,Government Entity.csv,2026-01-31
بلدية الرفيعة,Government Entity.csv,2026-01-31
بلدية محافظة قرية العليا,Government Entity.csv,2026-01-31
بلدية مليجة,Government Entity.csv,2026-01-31
بلدية الصرار,Government Entity.csv,2026-01-31
بلدية السعيرة,Government Entity.csv,2026-01-31
بلدية اللهابة,Government Entity.csv,2026-01-31
بلدية عريعرة,Government Entity.csv,2026-01-31
بلدية جوف بني هاجر,Government Entity.csv,2026-01-31
بلدية القليب,Government Entity.csv,2026-01-31
بلدية عين دار,Government Entity.csv,2026-01-31
أمانة منطقة عسير,Government Entity.csv,2026-01-31
بلدية محافظة خميس مشيط,Government Entity.csv,2026-01-31
بلدية محافظة بيشة,Government Entity.csv,2026-01-31
بلدية محافظة ظهران الجنوب,Government Entity.csv,2026-01-31
بلدية محافظة النماص,Government Entity.csv,2026-01-31
بلدية محافظة محايل عسير,Government Entity.csv,2026-01-31
بلدية محافظة احد رفيدة,Government Entity.csv,2026-01-31
بلدية محافظة تثليث,Government Entity.csv,2026-01-31
بلدية تنومة,Government Entity.csv,2026-01-31
بلدية محافظة سراة عبيدة,Government Entity.csv,2026-01-31
بلدية محافظة بلقرن,Government Entity.csv,2026-01-31
بلدية محافظة رجال المع,Government Entity.csv,2026-01-31
بلدية محافظة المجاردة,Government Entity.csv,2026-01-31
بلدية الحرجة,Government Entity.csv,2026-01-31
بلدية الربوعة,Government Entity.csv,2026-01-31
بلدية بللسمر,Government Entity.csv,2026-01-31
بلدية طريب,Government Entity.csv,2026-01-31
بلدية البشائر,Government Entity.csv,2026-01-31
بلدية بارق,Government Entity.csv,2026-01-31
بلدية بحرأبو سكينة,Government Entity.csv,2026-01-31
بلدية وادي بن هشبل,Government Entity.csv,2026-01-31
بلدية البرك,Government Entity.csv,2026-01-31
بلدية الحازمي,Government Entity.csv,2026-01-31
بلدية صبح بللحمر,Government Entity.csv,2026-01-31
بلدية الفرشة,Government Entity.csv,2026-01-31
بلدية قنا,Government Entity.csv,2026-01-31
بلدية الصبيخة,Government Entity.csv,2026-01-31
بلدية الثنية وتبالة,Government Entity.csv,2026-01-31
بلدية النقيع,Government Entity.csv,2026-01-31
بلدية صمخ,Government Entity.csv,2026-01-31
بلدية بني عمرو,Government Entity.csv,2026-01-31
بلدية الساحل,Government Entity.csv,2026-01-31
بلدية الواديين,Government Entity.csv,2026-01-31
بلدية الأمواه,Government Entity.csv,2026-01-31
