الرابط,اسم المنافسة,رقم المنافسة,الرقم المرجعي,الغرض من المنافسة,قيمة وثائق المنافسة,حالة المنافسة,مدة العقد,هل التأمين من متطلبات المنافسة,نوع المنافسة,الجهة الحكوميه,الوقت المتبقى,طريقة تقديم العروض,مطلوب ضمان الإبتدائي,الضمان النهائي,آخر موعد لإستلام الإستفسارات,آخر موعد لتقديم العروض,تاريخ فتح العروض,تاريخ فحص العروض,فترة التوقف,التاريخ المتوقع للترسية,تاريخ بدء الأعمال / الخدمات,بداية إرسال الأسئلة و الاستفسارات,اقصى مدة للاجابة على الاستفسارات,مكان فتح العرض,مجال التصنيف,مكان التنفيذ,التفاصيل,نشاط المنافسة,تشمل المنافسة على بنود توريد,أعمال الصيانة والتشغيل,عنوان الضمان الإبتدائى,أعمال  الإنشاء,الحزمة,نوع الاتفاقية,مدة الاتفاقية,عدد ايام استلام الاستفسارات,عدد أيام استلام العرض,قائمة الموردين المتقدمين,قائمة الموردين المرسى عليهم  -  ( ترسية كاملة ),الدول
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=EumappUACGZEULTgqt%20H4w==,تامين ادوات سباكة وادوات البناء لبلدية نفي,2026-7,260139004905,تامين ادوات سباكة وادوات البنا...عرض المزيد...تامين ادوات سباكة وادوات البناء لبلدية نفي,500.00,معتمدة,1 شهر,لا,منافسة عامة,أمانة منطقة الرياض,"7
                           دقائق:14
                           ساعة:12
                           يوم",ملف واحد للعرض الفني والمالي معا,ضمان إبتدائى,5.00,31/01/202612/08/1447,06/02/202618/08/144709:59 AM,06/02/202618/08/144710:00 AM,لا يوجد,5,12/02/202624/08/1447,16/02/202628/08/1447,23/01/202604/08/1447,5,الدوادمي,غير مطلوب,داخل المملكةمنطقة الرياضنفي,,تجارة مواد البناء والأدوات الكهربائية والصحية,لا,,منصة,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=gr%20u9*@@**KJLx6*@@**I6JqF1218Q==,تامين بلك وبلاط لبلدية نفي,2026-12,260139006350,تامين بلك وبلاط لبلدية نفي...عرض المزيد...تامين بلك وبلاط لبلدية نفي,200.00,معتمدة,1 شهر,لا,شراء مباشر,أمانة منطقة الرياض,"6
                           دقائق:14
                           ساعة:0
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,23/01/202604/08/1447,25/01/202606/08/144709:59 AM,لا يوجد,25/01/202606/08/144710:00 AM,,28/01/202609/08/1447,01/02/202613/08/1447,21/01/202602/08/1447,2,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضنفي,,تجارة مواد البناء والأدوات الكهربائية والصحية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qpITNo77Ih0Qvy7kgZq7qg==,إدارة مشتريات الدمام – توريد غازات طبية حسب الطلب     بمستشفى الامام عبدالرحمن بن فيصل بالدمام التابع للشؤون الصحية بوزارة الحرس الوطني DR219465,DR219465,260139004789,إدارة مشتريات الدمام – توريد غ...عرض المزيد...إدارة مشتريات الدمام – توريد غازات طبية حسب الطلب     بمستشفى الامام عبدالرحمن بن فيصل بالدمام التابع للشؤون الصحية بوزارة الحرس الوطني DR219465,200.00,معتمدة,1 سنة,لا,شراء مباشر,الشؤون الصحیة بوزارة الحرس الوطني,"5
                           دقائق:14
                           ساعة:1
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,24/01/202605/08/1447,26/01/202607/08/144709:59 AM,لا يوجد,26/01/202607/08/144710:00 AM,,27/01/202608/08/1447,28/01/202609/08/1447,21/01/202602/08/1447,5,لا يوجد,غير مطلوب,داخل المملكةالمنطقة الشرقيةالدمام,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=9%20M38BCEnP*@@**n0KQzjv9IFQ==,m-hb-AMIODARONE TABLET 200MG-160180,160180,260139006561,توريد دواء طبي لمستشفى الأمير...عرض المزيد...توريد دواء طبي لمستشفى الأمير محمد بن عبد العزيز للحرس الوطني بالمدينة المنورة,200.00,معتمدة,2 شهر,لا,شراء مباشر,الشؤون الصحیة بوزارة الحرس الوطني,"4
                           دقائق:14
                           ساعة:2
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,22/01/202603/08/1447,27/01/202608/08/144709:59 AM,لا يوجد,27/01/202608/08/144710:00 AM,,27/01/202608/08/1447,28/01/202609/08/1447,21/01/202602/08/1447,1,لا يوجد,غير مطلوب,داخل المملكةمنطقة المدينة المنورةالمدينة المنورة,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=9xL70zg6XqiiacQAXdt%20Tg==,أعمال إصلاح وصيانة لبعض مراكز الدفاع المدني بمنطقة المدينة المنورة,0247,260139005751,أعمال إصلاح وصيانة لبعض مراكز...عرض المزيد...أعمال إصلاح وصيانة لبعض مراكز الدفاع المدني بمنطقة المدينة المنورة,200.00,معتمدة,30 يوم,لا,شراء مباشر,ادارة الشؤون الفنية المركزية بمنطقة المدينةالمنورة,"3
                           دقائق:14
                           ساعة:3
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,26/01/202607/08/1447,28/01/202609/08/144709:59 AM,لا يوجد,28/01/202609/08/144710:00 AM,,27/01/202608/08/1447,28/01/202609/08/1447,21/01/202602/08/1447,4,لا يوجد,غير مطلوب,داخل المملكةمنطقة المدينة المنورةالمدينة المنورةينبع,أعمال إصلاح وصيانة لبعض مراكز الدفاع المدني بمنطقة المدينة المنورة و مركز الدفاع المدني بالنباه بمحافظة ينبع,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,لا,صيانة المباني,,المبـــاني,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ofrYROuNccfDzTE3i0DpBw==,ss-URINARY COLLECTION UNIT KIT UROMETER GRADUATED 2-400CC MOLDED DRIP CHAMBER FILTER AIR VENT WITH NEEDLE FREE PORT 9/32 INCH DRAINAGE TUBE STER-PR153194,153194,260139006620,تم الشراء عبر الشركة الوطنية ل...عرض المزيد...تم الشراء عبر الشركة الوطنية للشراء الموحد نوبكو حسب الاتفاقية الاطارية,200.00,معتمدة,1 سنة,لا,شراء مباشر,الشؤون الصحیة بوزارة الحرس الوطني,"3
                           دقائق:20
                           ساعة:0
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,25/01/202606/08/1447,25/01/202606/08/144704:00 PM,لا يوجد,25/01/202606/08/144704:00 PM,,25/01/202606/08/1447,16/02/202628/08/1447,24/01/202605/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة المدينة المنورةالمدينة المنورة,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Lg0eWnwNgr%207ibKaIeAFEg==,"توريد وتركيب استراحة سائقين ""بركس متنقل"" لكلية نايف للأمن الوطني.",(ش م/ك/ 3-2026),260139005868,"توريد وتركيب استراحة سائقين ""ب...عرض المزيد...توريد وتركيب استراحة سائقين ""بركس متنقل"" لكلية نايف للأمن الوطني.",200.00,معتمدة,15 يوم,لا,شراء مباشر,كلية نايف للأمن الوطني,"1
                           دقائق:14
                           ساعة:2
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,25/01/202606/08/1447,27/01/202608/08/144709:59 AM,لا يوجد,27/01/202608/08/144710:00 AM,,29/01/202610/08/1447,01/02/202613/08/1447,21/01/202602/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=8AmLT3hAiOStIXFwn6Gp4g==,صيانة الشوارع والارصفة والانارة بمحافظة الغاط والمراكز التابعة لها,6/310/2026,260139005763,صيانة الشوارع والارصفة والانار...عرض المزيد...صيانة الشوارع والارصفة والانارة بمحافظة الغاط والمراكز التابعة لها,1500.00,معتمدة,90 يوم,لا,منافسة عامة,أمانة منطقة الرياض,"0
                           دقائق:14
                           ساعة:13
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,5.00,22/01/202603/08/1447,07/02/202619/08/144709:59 AM,07/02/202619/08/144710:00 AM,لا يوجد,5,09/02/202621/08/1447,11/02/202623/08/1447,24/01/202605/08/1447,1,بلدية محافظة الغاط قسم الصيانة والتشغيل,قطاع التشغيل والصيانة والخدمات,داخل المملكةمنطقة الرياضالغاط,صيانة الشوارع والارصفة والانارة بمحافظة الغاط والمراكز التابعة لها,التشغيل والصيانة والنظافة للمنشآت - التشغيل وصيانة الطرق,لا,صيانة الطرق,,الطــــرق,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=agRI%20JQ5I0WtF14nY6k0rA==,توريد أحبار آلات طباعة للمركز الإعلامي بكلية نايف للأمن الوطني,(ش م/ك/ 1-2026)),260139005874,توريد أحبار آلات طباعة للمركز...عرض المزيد...توريد أحبار آلات طباعة للمركز الإعلامي بكلية نايف للأمن الوطني,200.00,معتمدة,15 يوم,لا,شراء مباشر,كلية نايف للأمن الوطني,"59
                           دقائق:13
                           ساعة:2
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,25/01/202606/08/1447,27/01/202608/08/144709:59 AM,لا يوجد,27/01/202608/08/144710:00 AM,,29/01/202610/08/1447,01/02/202613/08/1447,21/01/202602/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,صُنع الحواسيب والمنتجات الإلكترونية والبصرية,نعم,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=s5qh6dLze7x6YS4iOhvhQw==,تأمين وتوريد أعلام بمقاسات متعددة لكلية نايف للأمن الوطني.,(ش م /ك/ 5-2026),260139006432,تأمين وتوريد أعلام بمقاسات متع...عرض المزيد...تأمين وتوريد أعلام بمقاسات متعددة لكلية نايف للأمن الوطني.,200.00,معتمدة,30 يوم,لا,شراء مباشر,كلية نايف للأمن الوطني,"58
                           دقائق:13
                           ساعة:2
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,25/01/202606/08/1447,27/01/202608/08/144709:59 AM,لا يوجد,27/01/202608/08/144710:00 AM,,01/02/202613/08/1447,02/02/202614/08/1447,21/01/202602/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني,نعم,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=anTVLcjRFWEFrDGdLoYZAg==,توريد محروقات لبلدية محافظة الغاط (ديزل),7/310/2026,260139006276,توريد محروقات لبلدية محافظة ال...عرض المزيد...توريد محروقات لبلدية محافظة الغاط (ديزل),200.00,معتمدة,30 يوم,لا,شراء مباشر,أمانة منطقة الرياض,"56
                           دقائق:13
                           ساعة:0
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,23/01/202604/08/1447,25/01/202606/08/144709:59 AM,لا يوجد,25/01/202606/08/144710:00 AM,,26/01/202607/08/1447,27/01/202608/08/1447,21/01/202602/08/1447,2,لا يوجد,غير مطلوب,داخل المملكةمنطقة الرياضالغاط,توريد محروقات لبلدية محافظة الغاط (ديزل),خدمات محطات الوقود وخدمات المركبات الأخرى,نعم,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=MxyJPRj0MYRrasMq4Jt3Aw==,"J-MM-SET FLASH ASPIRATION CATHETER16, 115CM, H TORQ +LIGHTNING FLASH ASPIRATION TUBING + 6FR SELECT CATHETER 135 BER",JR714391,260139003859,توريد مواد و مستلزمات طبية للش...عرض المزيد...توريد مواد و مستلزمات طبية للشؤون الصحية بمدينة الملك عبدالعزيز الطبية بجدة,200.00,معتمدة,1 سنة,لا,شراء مباشر,الشؤون الصحیة بوزارة الحرس الوطني,"55
                           دقائق:13
                           ساعة:2
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,25/01/202606/08/1447,27/01/202608/08/144709:59 AM,لا يوجد,27/01/202608/08/144710:00 AM,,26/01/202607/08/1447,27/01/202608/08/1447,21/01/202602/08/1447,5,لا يوجد,غير مطلوب,داخل المملكةمنطقة مكة المكرمةجدة,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=rwcRAep7BW9CsFimowYzUg==,ss-Pad for positioning the patient especially during surgical procedure on the spine-SPR 161396,161396,260139005536,شراء مستلزمات طبية لمستشفى ا...عرض المزيد...شراء مستلزمات طبية لمستشفى الأمير محمد بن عبدالعزيز للحرس الوطني,200.00,معتمدة,1 سنة,لا,شراء مباشر,الشؤون الصحیة بوزارة الحرس الوطني,"54
                           دقائق:13
                           ساعة:2
                           يوم",ملف واحد للعرض الفني والمالي معا,لا يوجد ضمان,,22/01/202603/08/1447,27/01/202608/08/144709:59 AM,لا يوجد,27/01/202608/08/144710:00 AM,,28/01/202609/08/1447,16/02/202628/08/1447,21/01/202602/08/1447,3,لا يوجد,غير مطلوب,داخل المملكةمنطقة المدينة المنورةالمدينة المنورة,,الأنشطة الطبية,لا,,,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=YX2oLaduKe0l6nZk7NQlQg==,استبدال أنظمة الحماية والتحكم الحالية بأنظمة Microsoft E5 وتفعيلها,1000009746,260139001546,تسعى وزارة الاستثمار إلى تنفيذ...عرض المزيد...تسعى وزارة الاستثمار إلى تنفيذ مشروع متكامل لاستبدال أنظمة إدارة الأجهزة، الحماية، والتصنيف الحالية بحلول موحدة ومتكاملة ضمن ترخيص Microsoft E5 Security & Compliance، بهدف تحقيق التوافقية العالية بين الأنظمة والتقنيات المستخدمة داخل الوزارة، وتقليل التكاليف التشغيلية من خلال الاعتماد على حلول أمنية متقدمة مشمولة ضمن رخص Microsoft E5 دون تكاليف إضافية، بالإضافة إلى رفع كفاءة البنية الأمنية والتشغيلية عبر توحيد منصة الحماية والامتثال وضمان الإدارة المركزية باستخدام أدوات Microsoft المتكاملة.,700.00,معتمدة,1 سنة,لا,منافسة عامة,وزارة الاستثمار,"53
                           دقائق:13
                           ساعة:12
                           يوم",ملف واحد للعرض الفني والمالي معا,ضمان إبتدائى,5.00,31/01/202612/08/1447,06/02/202618/08/144709:59 AM,06/02/202618/08/144710:00 AM,لا يوجد,5,02/03/202613/09/1447,02/04/202614/10/1447,21/01/202602/08/1447,3,وزارة الاستثمار,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,تقنية المعلومات,لا,,وزارة الاستثمار المبنى الرئيسي,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ueXwCbfDxpH%20rzr7MuNhlQ==,توريد قطع غيار شبكة الجهد المتوسط (  Y31 ),Y26MG31325017,260139005209,تأمين قطع غيار لخلايا الجهد ال...عرض المزيد...تأمين قطع غيار لخلايا الجهد المتوسط بالموقع السكني والداخلي.,800.00,معتمدة,150 يوم,لا,منافسة عامة,قوة الصواريخ الاستراتيجية,"52
                           دقائق:13
                           ساعة:17
                           يوم",ملف واحد للعرض الفني والمالي معا,ضمان إبتدائى,5.00,05/02/202617/08/1447,11/02/202623/08/144709:59 AM,11/02/202623/08/144710:00 AM,لا يوجد,5,27/04/202610/11/1447,05/05/202618/11/1447,21/01/202602/08/1447,2,الادارة الهندسية والاشغال,غير مطلوب,داخل المملكةمنطقة الرياضالرياض,,تجارة مواد البناء والأدوات الكهربائية والصحيةتجارة قطع الغيار الجديدة,لا,,العقود والمشتريات بالادارة الهندسية والاشغال,,,,,,,,,
https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=viZsT40QIe4ndr0zev*@@**8UQ==,دعم وصيانة الأنظمة المركزية-4,1554,251139009268,ترغب الهيئة السعودية للبيانات...عرض المزيد...ترغب الهيئة السعودية للبيانات والذكاء الإصطناعي بالتعاقد مع احدى الشركات الي تقدم خدمات تقنية وذلك لتجديد خدمات الدعم الفني للأنظمة المركزية والأنظمة الملحقة بها وتجديد خدمات صيانة الأنظمة المركزية وخدمات تشغيل البنية التحتية لتقنية المعلومات من (أنظمة مركزية - أنظمة موزعة – أنظمة تخزين المركزية والموزعة والنسخ الاحتياطي - أنظمة قواعد البيانات المركزية والموزعة - وأنظمة تشغيل التطبيقات) وتوريد وتركيب أنظمة تخزين حديثة للأنظمة المركزية وتوفير الدعم الفني لأنظمة التخزين الموزعة في الموقع الرئيسي وموقع التعافي من الكوارث وذلك مع متعهد واحد للحصول على خدمة محكومة باتفاقية مستوى لخدمة لضمان استمرارية الأعمال وجودة الخدمات التشغيلية ورفع كفاءتها.,1000.00,معتمدة,3 سنة,لا,منافسة عامة,الهيئة السعودية للبيانات والذكاء الاصطناعي,"52
                           دقائق:15
                           ساعة:28
                           يوم",ملفين منفصلين ( فني ومالي),ضمان إبتدائى,5.00,17/02/202629/08/1447,22/02/202605/09/144712:00 PM,22/02/202605/09/144701:00 PM,لا يوجد,5,17/03/202628/09/1447,14/04/202626/10/1447,22/01/202603/08/1447,5,الخدمات المشتركة - لجنة فتح العروض,قطاع الاتصالات وتقنية المعلومات,داخل المملكةمنطقة الرياضالرياضمنطقة مكة المكرمةجدة,"المنطقة الوسطى - مدينة الرياض
المنطقة الغربية - مدينة جدة",تقنية المعلومات,لا,,الهيئة السعودية للبيانات والذكاء الاصطناعي,,,,,,,,,
